"Date Time, GMT -0700","Temp, (*F)"
3/11/20 13:37,74.85
3/11/20 13:47,74.51
3/11/20 13:57,74.56
3/11/20 14:07,74.52
3/11/20 14:17,74.37
3/11/20 14:27,74.25
3/11/20 14:37,74.16
3/11/20 14:47,74.22
3/11/20 14:57,74.14
3/11/20 15:07,74.25
3/11/20 15:17,77.25
3/11/20 15:27,81.67
3/11/20 15:37,84.72
3/11/20 15:47,85.55
3/11/20 15:57,85.49
3/11/20 16:07,84.89
3/11/20 16:17,82.09
3/11/20 16:27,77.65
3/11/20 16:37,74.2
3/11/20 16:47,74.93
3/11/20 16:57,69.7
3/11/20 17:07,67.56
3/11/20 17:17,66.03
3/11/20 17:27,65.14
3/11/20 17:37,65.55
3/11/20 17:47,69.04
3/11/20 17:57,71.36
3/11/20 18:07,71.45
3/11/20 18:17,70.35
3/11/20 18:27,70.55
3/11/20 18:37,66.4
3/11/20 18:47,62.38
3/11/20 18:57,61.67
3/11/20 19:07,61.38
3/11/20 19:17,61.18
3/11/20 19:27,60.97
3/11/20 19:37,60.7
3/11/20 19:47,60.62
3/11/20 19:57,60.49
3/11/20 20:07,60.37
3/11/20 20:17,60.12
3/11/20 20:27,60.1
3/11/20 20:37,59.91
3/11/20 20:47,59.79
3/11/20 20:57,59.7
3/11/20 21:07,59.62
3/11/20 21:17,59.47
3/11/20 21:27,59.41
3/11/20 21:37,59.27
3/11/20 21:47,59.18
3/11/20 21:57,59.95
3/11/20 22:07,60.14
3/11/20 22:17,60.45
3/11/20 22:27,60.68
3/11/20 22:37,60.93
3/11/20 22:47,60.88
3/11/20 22:57,60.95
3/11/20 23:07,60.86
3/11/20 23:17,60.86
3/11/20 23:27,60.76
3/11/20 23:37,60.78
3/11/20 23:47,60.78
3/11/20 23:57,60.72
3/12/20 0:07,60.7
3/12/20 0:17,60.7
3/12/20 0:27,60.7
3/12/20 0:37,60.62
3/12/20 0:47,60.53
3/12/20 0:57,60.41
3/12/20 1:07,60.32
3/12/20 1:17,60.34
3/12/20 1:27,60.12
3/12/20 1:37,59.97
3/12/20 1:47,59.74
3/12/20 1:57,59.68
3/12/20 2:07,59.68
3/12/20 2:17,59.62
3/12/20 2:27,59.5
3/12/20 2:37,59.45
3/12/20 2:47,59.04
3/12/20 2:57,58.93
3/12/20 3:07,58.81
3/12/20 3:17,58.71
3/12/20 3:27,58.71
3/12/20 3:37,58.62
3/12/20 3:47,58.13
3/12/20 3:57,58.13
3/12/20 4:07,58.06
3/12/20 4:17,57.94
3/12/20 4:27,57.86
3/12/20 4:37,57.73
3/12/20 4:47,57.63
3/12/20 4:57,57.5
3/12/20 5:07,57.32
3/12/20 5:17,57.19
3/12/20 5:27,57
3/12/20 5:37,56.98
3/12/20 5:47,56.92
3/12/20 5:57,56.84
3/12/20 6:07,56.8
3/12/20 6:17,56.72
3/12/20 6:27,56.67
3/12/20 6:37,56.53
3/12/20 6:47,56.42
3/12/20 6:57,56.26
3/12/20 7:07,56.17
3/12/20 7:17,56.18
3/12/20 7:27,56.17
3/12/20 7:37,56.2
3/12/20 7:47,56.34
3/12/20 7:57,56.51
3/12/20 8:07,56.76
3/12/20 8:17,57.07
3/12/20 8:27,57.44
3/12/20 8:37,57.92
3/12/20 8:47,58.44
3/12/20 8:57,59.29
3/12/20 9:07,59.97
